School_No,School_Name,School_Type,Suburb,State,Postcode,Phone_No,LGA_ID,LGA_Name,Latitude,Longtitude,Education_Sector,Entity_Type,Address
7255,Bentleigh Secondary College,Secondary,Bentleigh East,VIC,3165,03 9579 1044,231,Glen Eira (C),145.0599114,-37.92767095,Government,1,Vivien St P O Box 186
7267,Mount Clear College,Secondary,Mount Clear,VIC,3353,03 5330 1500,57,Ballarat (C),143.8767265,-37.60741829,Government,1,59 Olympic Avenue P O Box 257
7275,Rosehill Secondary College,Secondary,Niddrie,VIC,3042,03 9337 2488,506,Moonee Valley (C),144.886183,-37.746679,Government,1,Sapphire Street
7300,Northern College of the Arts and Technology,Secondary,Preston,VIC,3072,03 9478 1333,189,Darebin (C),145.025372,-37.740069,Government,1,62 Murray Road P O Box 8041
7331,McGuire College,Secondary,Shepparton,VIC,3630,03 5858 9800,283,Greater Shepparton (C),145.408146,-36.39895,Government,1,92-100 Wilmot Road P O Box 6605
7366,Swinburne Senior Secondary College,Secondary,Hawthorn,VIC,3122,03 8862 4400,111,Boroondara (C),145.040821,-37.823135,Government,1,505 Burwood Road 505 Burwood Rd
7384,Victorian College Of The Arts Secondary School,Secondary,Southbank,VIC,3006,03 8644 8644,460,Melbourne (C),144.964767,-37.828229,Government,1,57 Miles Street
7395,Brauer Secondary College,Secondary,Warrnambool,VIC,3280,03 5560 3888,673,Warrnambool (C),142.458924,-38.358714,Government,1,Caramut Road P O Box 676
7402,Wyndham Central Secondary College,Secondary,Werribee,VIC,3030,03 9741 4911,726,Wyndham (C),144.653628,-37.888964,Government,1,101 Shaws Road P O Box 304
7405,Weeroona College Bendigo,Secondary,Bendigo,VIC,3550,03 5443 2133,262,Greater Bendigo (C),144.29798,-36.73893,Government,1,383 Napier Street P O Box 566
7408,Whittlesea Secondary College,Secondary,Whittlesea,VIC,3757,03 9719 1200,707,Whittlesea (C),145.1201751,-37.5150463,Government,1,Laurel Street P O Box 54
7505,Alexandra Secondary College,Secondary,Alexandra,VIC,3714,03 5770 2000,562,Murrindindi (S),145.701477,-37.19449,Government,1,Downey Street Private Bag 1
7526,Auburn High School,Secondary,Hawthorn East,VIC,3123,03 9822 3247,111,Boroondara (C),145.044628,-37.839849,Government,1,26 Burgess Street
7540,Ballarat High School,Secondary,Ballarat,VIC,3350,03 5338 9000,57,Ballarat (C),143.8184333,-37.55481059,Government,1,Sturt Street West
7550,Balwyn High School,Secondary,Balwyn North,VIC,3104,03 9819 7911,111,Boroondara (C),145.0767724,-37.79785922,Government,1,Buchanan Avenue
7560,Bayswater Secondary College,Secondary,Bayswater,VIC,3153,03 8720 7555,367,Knox (C),145.261998,-37.83903,Government,1,14 Orchard Road P O Box 535
7565,Beaufort Secondary College,Secondary,Beaufort,VIC,3373,03 5349 2305,599,Pyrenees (S),143.382486,-37.438844,Government,1,1/37 Park Road P O Box 38
7575,Beechworth Secondary College,Secondary,Beechworth,VIC,3747,03 5728 1264,335,Indigo (S),146.690764,-36.34722,Government,1,85 Balaclava Road P O Box 21
7585,Belmont High School,Secondary,Belmont,VIC,3216,03 5243 5355,275,Greater Geelong (C),144.3305875,-38.17555773,Government,1,Rotherham Street
7595,Bendigo Senior Secondary College,Secondary,Bendigo,VIC,3550,03 5443 1222,262,Greater Bendigo (C),144.279586,-36.7551,Government,1,40 Gaol Road P O Box 545
7603,Berwick Secondary College,Secondary,Berwick,VIC,3806,03 8768 1000,161,Casey (C),145.364182,-38.031068,Government,1,Manuka Road MANUKA ROAD
7610,Blackburn High School,Secondary,Blackburn,VIC,3130,03 8804 6464,698,Whitehorse (C),145.149893,-37.81037,Government,1,60 Springfield Road P O Box 114
7618,Outdoor School,Pri/Sec,Bogong,VIC,3699,03 5754 1732,11,Alpine (S),147.225366,-36.804077,Government,1,1 Black Possum Road
7635,Box Hill High School,Secondary,Box Hill,VIC,3128,03 9877 1177,698,Whitehorse (C),145.137953,-37.820639,Government,1,1180 Whitehorse Road
7645,Braybrook College,Secondary,Braybrook,VIC,3019,03 9312 2900,433,Maribyrnong (C),144.847568,-37.777975,Government,1,352 Ballarat Road
7647,Brentwood Secondary College,Secondary,Glen Waverley,VIC,3150,03 8545 0300,497,Monash (C),145.1663432,-37.89950842,Government,1,65-71 Watsons Road
7650,Brighton Secondary College,Secondary,Brighton East,VIC,3187,03 9592 7488,91,Bayside (C),145.019119,-37.920156,Government,1,120 Marriage Road
7655,Broadford Secondary College,Secondary,Broadford,VIC,3658,03 5784 1200,485,Mitchell (S),145.040033,-37.204375,Government,1,2-12 Pinniger Street P O Box 108
7670,Buckley Park College,Secondary,Essendon,VIC,3040,03 9331 9999,506,Moonee Valley (C),144.897755,-37.747117,Government,1,Cooper Street
7680,Camberwell High School,Secondary,Canterbury,VIC,3126,03 9836 0555,111,Boroondara (C),145.072724,-37.830151,Government,1,Prospect Hill Road
7690,Canterbury Girls Secondary College,Secondary,Canterbury,VIC,3126,03 9830 5099,111,Boroondara (C),145.070325,-37.819878,Government,1,16 Mangarra Road
7695,Casterton Secondary College,Secondary,Casterton,VIC,3311,03 5581 1588,241,Glenelg (S),141.387493,-37.588796,Government,1,27 Mt Gambier Road 27 Mt.Gambier Road
7720,Cheltenham Secondary College,Secondary,Cheltenham,VIC,3192,03 9555 5955,343,Kingston (C),145.068585,-37.953335,Government,1,73-75 Bernard Street P O Box 109
7725,Cobram Secondary College,Secondary,Cobram,VIC,3644,03 5871 1700,490,Moira (S),145.654121,-35.913605,Government,1,25-47 Warkil Street P O Box 387
7735,Cohuna Secondary College,Secondary,Cohuna,VIC,3568,03 5456 2555,225,Gannawarra (S),144.226425,-35.813503,Government,1,6415 Murray Valley Highway P O Box 273
7747,Cranbourne Secondary College,Secondary,Cranbourne,VIC,3977,03 5996 3544,161,Casey (C),145.286641,-38.108126,Government,1,Stawell Street
7757,Croydon Community School,Secondary,Croydon,VIC,3136,03 9724 2900,441,Maroondah (C),145.278928,-37.798422,Government,1,177-181 Mt Dandenong Road P O Box 239
7763,Mount Alexander 7-12 College,Secondary,Flemington,VIC,3031,03 9376 1622,506,Moonee Valley (C),144.933264,-37.782351,Government,1,167-175 Mt Alexander Road
7770,Dimboola Memorial Secondary College,Secondary,Dimboola,VIC,3414,03 5389 1460,298,Hindmarsh (S),142.034409,-36.449839,Government,1,66 Ellerman Street P O Box 40
7773,East Doncaster Secondary College,Secondary,Doncaster East,VIC,3109,03 9842 2244,421,Manningham (C),145.158872,-37.782173,Government,1,20 George Street
7775,Donald High School,Secondary,Donald,VIC,3480,03 5497 1205,127,Buloke (S),142.973962,-36.370779,Government,1,2-16 Camp Street P O Box 138
7776,Doncaster Secondary College,Secondary,Doncaster,VIC,3108,03 9848 4677,421,Manningham (C),145.138053,-37.784581,Government,1,123 Church Road 123 CHURCH ROAD
7785,Drouin Secondary College,Secondary,Drouin,VIC,3818,03 5625 1002,83,Baw Baw (S),145.850978,-38.144659,Government,1,South Road P O BOX 338
7790,Eaglehawk Secondary College,Secondary,Eaglehawk,VIC,3556,03 5446 8099,262,Greater Bendigo (C),144.262694,-36.720264,Government,1,1-3 Reserve Street P O Box 146
7805,Eltham High School,Secondary,Eltham,VIC,3095,03 9430 5111,571,Nillumbik (S),145.1424858,-37.72464493,Government,1,30-60 Withers Way
7810,Elwood College,Secondary,Elwood,VIC,3184,03 9531 9566,590,Port Phillip (C),144.984486,-37.881989,Government,1,101 Glenhuntly Road
7813,Epping Secondary College,Secondary,Epping,VIC,3076,03 9401 2599,707,Whittlesea (C),145.0328343,-37.64428686,Government,1,Mcdonalds Road McDonalds Road
7820,Euroa Secondary College,Secondary,Euroa,VIC,3666,03 5795 2512,643,Strathbogie (S),145.5648,-36.758203,Government,1,26 Campbell St P O Box 63
7823,Fairhills High School,Secondary,Knoxfield,VIC,3180,03 9758 5022,367,Knox (C),145.259328,-37.872665,Government,1,Scoresby Road P O Box 226
7837,Bendigo South East 7-10 Secondary College,Secondary,Bendigo,VIC,3550,03 5443 4522,262,Greater Bendigo (C),144.2993103,-36.7761957,Government,1,Ellis Street P O Box 15
7841,Gilmore College For Girls,Secondary,Footscray,VIC,3011,03 9689 4788,433,Maribyrnong (C),144.894886,-37.799098,Government,1,298 Barkly Street P O Box 2021
7845,Foster Secondary College,Secondary,Foster,VIC,3960,03 5682 2066,617,South Gippsland (S),146.197413,-38.651737,Government,1,2 - 10 Pioneer Street P O Box 23
7850,Frankston High School,Secondary,Frankston,VIC,3199,03 9783 7955,217,Frankston (C),145.1284347,-38.16056162,Government,1,97 Foot Street
7855,Geelong High School,Secondary,East Geelong,VIC,3219,03 5225 4100,275,Greater Geelong (C),144.373726,-38.153026,Government,1,385 Ryrie Street
7856,North Geelong Secondary College,Secondary,North Geelong,VIC,3215,03 5240 5800,275,Greater Geelong (C),144.341359,-38.110384,Government,1,86-132 Separation Street 86 - 132 Separation St
7857,Gisborne Secondary College,Secondary,Gisborne,VIC,3437,03 5428 3691,413,Macedon Ranges (S),144.5847741,-37.49811364,Government,1,95 Melton Road P O Box 57
7858,Gladstone Park Secondary College,Secondary,Gladstone Park,VIC,3043,03 9933 0500,327,Hume (C),144.890816,-37.68921,Government,1,14 - 36 Taylor Drive
7874,Bundoora Secondary College,Secondary,Bundoora,VIC,3083,03 9467 1511,66,Banyule (C),145.061579,-37.70757147,Government,1,53 Balmoral Avenue P O Box 68
7893,Western Port Secondary College,Secondary,Hastings,VIC,3915,03 5979 1577,534,Mornington Peninsula (S),145.17524,-38.307988,Government,1,"215 High Street P O Box 101, 215 HIGH STREET"
7900,Healesville High School,Secondary,Healesville,VIC,3777,03 5962 4088,745,Yarra Ranges (S),145.5319733,-37.64356325,Government,1,10 Camerons Road
7910,Heywood District Secondary College,Secondary,Heywood,VIC,3304,03 5527 1303,241,Glenelg (S),141.6204999,-38.12926753,Government,1,Gorrie Street P O Box 180
7918,Highvale Secondary College,Secondary,Glen Waverley,VIC,3150,03 9803 5144,497,Monash (C),145.176723,-37.86624,Government,1,Capital Avenue
7945,Kerang Technical High School,Secondary,Kerang,VIC,3579,03 5452 1062,225,Gannawarra (S),143.913802,-35.725651,Government,1,Murray St P O Box 201
7947,Kensington Community High School,Secondary,Kensington,VIC,3031,03 9376 1953,506,Moonee Valley (C),144.925577,-37.787909,Government,1,405 Racecourse Rd P O Box 321
7950,Kew High School,Secondary,Kew East,VIC,3102,03 9092 7500,111,Boroondara (C),145.061556,-37.794722,Government,1,1393 Burke Road
7954,Koonung Secondary College,Secondary,Mont Albert North,VIC,3129,03 9890 9662,698,Whitehorse (C),145.116155,-37.803729,Government,1,615 Elgar Road PO Box 1202
7955,Koo Wee Rup Secondary College,Secondary,Koo Wee Rup,VIC,3981,03 5997 1444,145,Cardinia (S),145.4957842,-38.19701512,Government,1,Rossiter Road P O Box 30
7960,Korumburra Secondary College,Secondary,Korumburra,VIC,3950,03 5655 1566,617,South Gippsland (S),145.8039,-38.44387,Government,1,125 Jumbunna Road Private Bag 2
7965,Kyabram P-12 College,Pri/Sec,Kyabram,VIC,3620,03 5851 2100,137,Campaspe (S),145.056207,-36.317476,Government,1,57 Fischer Street P O Box 384
7970,Kyneton Secondary College,Secondary,Kyneton,VIC,3444,03 5421 1100,413,Macedon Ranges (S),144.4581707,-37.25132966,Government,1,1-9 Epping Street 1-9 Epping St
7985,Lalor Secondary College,Secondary,Lalor,VIC,3075,03 9463 7300,707,Whittlesea (C),145.0306228,-37.67265939,Government,1,118 David Street P O Box 1015
7986,Lalor North Secondary College,Secondary,Epping,VIC,3076,03 9401 3888,707,Whittlesea (C),145.034958,-37.66098319,Government,1,114 Childs Road
7995,Lilydale High School,Secondary,Lilydale,VIC,3140,03 9735 5644,745,Yarra Ranges (S),145.3452169,-37.76073331,Government,1,25 Melba Avenue 25 Melba Ave
7997,Lorne P-12 College,Pri/Sec,Lorne,VIC,3232,03 5289 1585,649,Surf Coast (S),143.9738904,-38.53917804,Government,1,15 Grove Road
8000,Lyndale Secondary College,Secondary,Dandenong North,VIC,3175,03 9795 2366,267,Greater Dandenong (C),145.206752,-37.957779,Government,1,170-174 Gladstone Road P O Box 2684
8003,Lynall Hall Community School,Secondary,Richmond,VIC,3121,03 9428 4421,735,Yarra (C),145.002257,-37.816477,Government,1,Cnr Gleadell & Highett Street P O Box 99
8005,Maffra Secondary College,Secondary,Maffra,VIC,3860,03 5147 1790,681,Wellington (S),146.982424,-37.964888,Government,1,Bill Cane Court
8010,Mansfield Secondary College,Secondary,Mansfield,VIC,3722,03 5775 2022,425,Mansfield (S),146.088565,-37.062676,Government,1,15 View Street P O Box 203
8015,Maribyrnong Secondary College,Secondary,Maribyrnong,VIC,3032,03 9091 8100,433,Maribyrnong (C),144.8885143,-37.77954228,Government,1,River Street
8022,Matthew Flinders Girls Secondary College,Secondary,Geelong,VIC,3220,03 4243 0500,275,Greater Geelong (C),144.353444,-38.148845,Government,1,2 Little Ryrie Street P O Box 1285
8025,Melbourne High School,Secondary,South Yarra,VIC,3141,03 9826 0711,635,Stonnington (C),144.995314,-37.836829,Government,1,Forrest Hill
8027,Melton Secondary College,Secondary,Melton,VIC,3337,03 9743 3322,465,Melton (C),144.5679855,-37.68312036,Government,1,Coburns Road P O Box 597
8030,Mentone Girls Secondary College,Secondary,Mentone,VIC,3194,03 9581 5200,343,Kingston (C),145.053969,-37.98035,Government,1,Cnr Balcombe & Charman Rds P O Box 52
8045,Mildura Senior College,Secondary,Mildura,VIC,3500,03 5021 2911,478,Mildura (RC),142.1453901,-34.19800387,Government,1,307-339 Deakin Avenue P O Box 1436
8050,Mirboo North Secondary College,Secondary,Mirboo North,VIC,3871,03 5667 9000,617,South Gippsland (S),146.148821,-38.40018,Government,1,Castle Street
8065,Monbulk College,Secondary,Monbulk,VIC,3793,03 9751 9000,745,Yarra Ranges (S),145.4278068,-37.88317535,Government,1,146-148 David Hill Road
8068,Montmorency Secondary College,Secondary,Montmorency,VIC,3094,03 9422 1500,66,Banyule (C),145.113611,-37.714075,Government,1,Para Road
8071,Mooroolbark College,Secondary,Mooroolbark,VIC,3138,03 9727 8100,745,Yarra Ranges (S),145.3142304,-37.77508326,Government,1,186 Manchester Road
8073,Mooroopna Secondary College,Secondary,Mooroopna,VIC,3629,03 5825 2344,283,Greater Shepparton (C),145.351801,-36.381782,Government,1,141-179 Echuca Road PO Box 183
8075,Mordialloc College,Secondary,Mordialloc,VIC,3195,03 9580 1184,343,Kingston (C),145.09199,-38.012301,Government,1,1 Station Street
8100,Mount Beauty Secondary College,Secondary,Mount Beauty,VIC,3699,03 5754 4005,11,Alpine (S),147.167284,-36.740307,Government,1,Tailrace Road P O Box 38
8102,Mount Eliza Secondary College,Secondary,Mount Eliza,VIC,3930,03 9787 6288,534,Mornington Peninsula (S),145.093813,-38.190138,Government,1,204 Canadian Bay Road Locked Bag 4
8105,Mount Waverley Secondary College,Secondary,Mount Waverley,VIC,3149,03 9803 6811,497,Monash (C),145.13163,-37.86879,Government,1,9 Lechte Road P O Box 346
8125,Mckinnon Secondary College,Secondary,Mckinnon,VIC,3204,03 8520 9000,231,Glen Eira (C),145.049119,-37.912027,Government,1,291a Mckinnon Road McKinnon Road
8135,MacRobertson Girls High School,Secondary,Melbourne,VIC,3004,03 9864 7700,590,Port Phillip (C),144.971862,-37.835886,Government,1,350-370 Kings Way
8140,Nathalia Secondary College,Secondary,Nathalia,VIC,3638,03 5866 2331,490,Moira (S),145.208438,-36.059901,Government,1,41 Chapel Street P O Box 42
8145,Neerim District Secondary College,Secondary,Neerim South,VIC,3831,03 5628 1455,83,Baw Baw (S),145.95668,-38.016936,Government,1,Neerim East Road P O Box 18
8151,Newcomb Secondary College,Secondary,Newcomb,VIC,3219,03 5248 1400,275,Greater Geelong (C),144.395063,-38.171306,Government,1,81 - 85 Bellarine Highway
8180,Northcote High School,Secondary,Northcote,VIC,3070,03 9488 2300,189,Darebin (C),144.989706,-37.774156,Government,1,St Georges Road
8185,Norwood Secondary College,Secondary,Ringwood,VIC,3134,03 9871 0400,441,Maroondah (C),145.238246,-37.800473,Government,1,Byron Street PO Box 371
8190,Numurkah Secondary College,Secondary,Numurkah,VIC,3636,03 5862 1088,490,Moira (S),145.446271,-36.079948,Government,1,104 Tocumwal Road P O Box 229
8210,Oberon High School,Secondary,Belmont,VIC,3216,03 5243 4444,275,Greater Geelong (C),144.337409,-38.18665,Government,1,12 Pickett Crescent 12 PICKETT CRESCENT
8215,Orbost Secondary College,Secondary,Orbost,VIC,3888,03 5154 1084,211,East Gippsland (S),148.466353,-37.704106,Government,1,20 Arnold Street P O Box 270
8220,Ouyen P-12 College,Pri/Sec,Ouyen,VIC,3490,03 5092 1182,478,Mildura (RC),142.322608,-35.064571,Government,1,1-35 Fuller Street
8223,Pakenham Secondary College,Secondary,Pakenham,VIC,3810,03 5945 1433,145,Cardinia (S),145.4711008,-38.06907933,Government,1,1020 Princes Highway
8225,Parkdale Secondary College,Secondary,Mordialloc,VIC,3195,03 9580 6311,343,Kingston (C),145.094101,-37.989637,Government,1,"Warren Road Warren Road,"
8227,Pascoe Vale Girls Secondary College,Secondary,Pascoe Vale,VIC,3044,03 9306 2544,525,Moreland (C),144.935384,-37.717664,Government,1,Lake Avenue
8245,Princes Hill Secondary College,Secondary,Princes Hill,VIC,3054,03 9389 0600,735,Yarra (C),144.96503,-37.783481,Government,1,Arnold Street
8250,Bellarine Secondary College,Secondary,Drysdale,VIC,3222,03 5251 9000,275,Greater Geelong (C),144.556993,-38.191069,Government,1,Peninsula Drive
8256,Rainbow P-12 College (interim name),Pri/Sec,Rainbow,VIC,3424,03 5395 1063,298,Hindmarsh (S),141.9966997,-35.89446757,Government,1,17 Albert Street P O Box 223
8260,Red Cliffs Secondary College,Secondary,Red Cliffs,VIC,3496,03 5024 1522,478,Mildura (RC),142.195452,-34.298804,Government,1,55 Fitzroy Avenue P O Box 285
8270,Ringwood Secondary College,Secondary,Ringwood,VIC,3134,03 9870 2002,441,Maroondah (C),145.239147,-37.816606,Government,1,Bedford Road
8276,Robinvale College (interim name),Pri/Sec,Robinvale,VIC,3549,03 5026 3704,661,Swan Hill (RC),142.7815451,-34.58888676,Government,1,186 Latje Road PO Box 378
8280,Rochester Secondary College,Secondary,Rochester,VIC,3561,03 5484 1844,137,Campaspe (S),144.6986963,-36.35277863,Government,1,Edward Street P O Box 186
8290,Rosebud Secondary College,Secondary,Rosebud,VIC,3939,03 5986 8595,534,Mornington Peninsula (S),144.887447,-38.367615,Government,1,245 Eastbourne Road
8294,Rubicon Outdoor Centre,Secondary,Thornton,VIC,3712,03 5773 2285,562,Murrindindi (S),145.821336,-37.294928,Government,1,264 Rubicon Road 264 Rubicon Rd
8300,Rutherglen High School,Secondary,Rutherglen,VIC,3685,02 6032 9483,335,Indigo (S),146.452103,-36.062564,Government,1,40 Sheridans Bridge Road P O Box 84
8307,Scoresby Secondary College,Secondary,Scoresby,VIC,3179,03 9765 4100,367,Knox (C),145.2362,-37.888642,Government,1,Cavell Street
8320,Shepparton High School,Secondary,Shepparton,VIC,3630,03 5821 4322,283,Greater Shepparton (C),145.415396,-36.372067,Government,1,31-71 Hawdon Street P O Box 1247
8330,St Albans Secondary College,Secondary,St Albans,VIC,3021,03 9366 2555,118,Brimbank (C),144.807009,-37.745308,Government,1,289 Main Road East 289 MAIN ROAD EAST
8335,St Arnaud Secondary College,Secondary,St Arnaud,VIC,3478,03 5495 1811,581,Northern Grampians (S),143.250936,-36.609547,Government,1,Smith Street P O Box 40
8337,Oakwood School,Secondary,Caulfield North,VIC,3161,03 9563 5644,231,Glen Eira (C),145.034173,-37.87398,Government,1,319 Balaclava Road
8345,Strathmore Secondary College,Secondary,Strathmore,VIC,3041,03 9379 7999,506,Moonee Valley (C),144.926643,-37.73695,Government,1,400 Pascoe Vale Road
8350,Sunbury College,Secondary,Sunbury,VIC,3429,03 9744 1066,327,Hume (C),144.728687,-37.574206,Government,1,30 Racecourse Road P O BOX 183
8368,Sydney Road Community School,Secondary,Brunswick,VIC,3056,03 9380 9417,525,Moreland (C),144.961878,-37.769691,Government,1,350 Sydney Road P O BOX 292
8370,Tallangatta Secondary College,Secondary,Tallangatta,VIC,3700,02 6071 5000,667,Towong (S),147.172667,-36.220441,Government,1,145 Towong Street P O Box 81
8383,Thomastown Secondary College,Secondary,Thomastown,VIC,3074,03 9465 0844,707,Whittlesea (C),145.0019385,-37.67871605,Government,1,80-96 Main Street P O Box 110
8395,Trafalgar High School,Secondary,Trafalgar,VIC,3824,03 5633 1733,83,Baw Baw (S),146.158302,-38.214568,Government,1,School Road Locked Bag 1
8405,University High School,Secondary,Parkville,VIC,3052,03 9347 2022,460,Melbourne (C),144.955664,-37.797009,Government,1,77 Story Street
8407,Roxburgh College,Secondary,Roxburgh Park,VIC,3064,03 9930 8100,327,Hume (C),144.9294592,-37.63062884,Government,1,60-70 Donald Cameron Drive P O Box 453
8410,Upper Yarra Secondary College,Secondary,Yarra Junction,VIC,3797,03 5967 1877,745,Yarra Ranges (S),145.623933,-37.79209352,Government,1,81-89 Little Yarra Road P O Box 550
8415,Upwey High School,Secondary,Upwey,VIC,3158,03 9754 2838,745,Yarra Ranges (S),145.335356,-37.903376,Government,1,1451 Burwood Highway 1451 Burwood Hwy
8420,Vermont Secondary College,Secondary,Vermont,VIC,3133,03 9873 1077,698,Whitehorse (C),145.199846,-37.842864,Government,1,27 - 63 Morack Road P O Box 138
8421,Kambrya College,Secondary,Berwick,VIC,3806,03 9707 7600,161,Casey (C),145.34741,-38.05368819,Government,1,68 Bemersyde Drive P O Box 153
8422,Wanganui Park Secondary College,Secondary,Shepparton,VIC,3630,03 5820 9900,283,Greater Shepparton (C),145.391896,-36.35704,Government,1,1 - 19 Parkside Drive P O Box 4010
8423,Carrum Downs Secondary College,Secondary,Carrum Downs,VIC,3201,03 9788 9100,217,Frankston (C),145.198245,-38.094091,Government,1,263 McCormicks Road P O Box 8845
8425,Wangaratta High School,Secondary,Wangaratta,VIC,3677,03 5723 0500,670,Wangaratta (RC),146.307723,-36.344898,Government,1,17-49 Edwards Street P O Box 235
8428,Wantirna College,Secondary,Wantirna,VIC,3152,03 9801 9700,367,Knox (C),145.229974,-37.857598,Government,1,Harold Street
8430,Warracknabeal Secondary College,Secondary,Warracknabeal,VIC,3393,03 5398 1433,763,Yarriambiack (S),142.389405,-36.26275,Government,1,Tregear Street P O Box 285
8437,Warrandyte High School,Secondary,Warrandyte,VIC,3113,03 9844 2749,421,Manningham (C),145.184047,-37.746939,Government,1,241-247 Heidelberg-Warrandyte Rd Cnr Alexander & Warrandyte Rds
8462,Wellington Secondary College,Secondary,Mulgrave,VIC,3170,03 9547 6822,497,Monash (C),145.17022,-37.934656,Government,1,91 Police Road P O Box 1
8465,Werribee Secondary College,Secondary,Werribee,VIC,3030,03 9741 1822,726,Wyndham (C),144.668744,-37.905536,Government,1,45 Duncans Road P O Box 314
8466,Bairnsdale Secondary College,Secondary,Bairnsdale,VIC,3875,03 5150 4800,211,East Gippsland (S),147.6049997,-37.82871098,Government,1,90 Mckean Street P O Box 325
8470,Westall Secondary College,Secondary,Clayton South,VIC,3169,03 9546 3233,343,Kingston (C),145.1361047,-37.94021554,Government,1,88-128 Rosebank Avenue
8474,Wheelers Hill Secondary College,Secondary,Wheelers Hill,VIC,3150,03 9561 5811,497,Monash (C),145.181743,-37.910126,Government,1,Raphael Drive
8475,Williamstown High School,Secondary,Williamstown,VIC,3016,03 9397 1899,311,Hobsons Bay (C),144.895131,-37.862753,Government,1,76 Pasco Street
8480,Wodonga Senior Secondary College,Secondary,Wodonga,VIC,3690,02 6043 7500,717,Wodonga (C),146.8810522,-36.12560893,Government,1,69 Woodland Street
8490,Yarram Secondary College,Secondary,Yarram,VIC,3971,03 5182 5522,681,Wellington (S),146.68546,-38.566575,Government,1,86 James Street P O Box 135
8500,Yea High School,Secondary,Yea,VIC,3717,03 5797 2207,562,Murrindindi (S),145.408536,-37.215011,Government,1,67 Racecourse Rd P O Box 63
8704,Glen Eira College,Secondary,Caulfield East,VIC,3145,03 9571 7838,231,Glen Eira (C),145.038006,-37.8857,Government,1,76 Booran Road
8705,Craigieburn Secondary College,Secondary,Craigieburn,VIC,3064,03 9308 1144,327,Hume (C),144.9355817,-37.60861754,Government,1,102 Hothlyn Drive
8707,Emerald Secondary College,Secondary,Emerald,VIC,3782,03 5968 5388,145,Cardinia (S),145.4587437,-37.92427055,Government,1,425 Belgrave-gembrook Rd P O Box 264
8708,Reservoir High School,Secondary,Reservoir,VIC,3073,03 9466 0900,189,Darebin (C),145.029772,-37.722259,Government,1,855 Plenty Road
8709,Hampton Park Secondary College,Secondary,Hampton Park,VIC,3976,03 8795 9400,161,Casey (C),145.259148,-38.034925,Government,1,58 - 96 Fordholm Road P O Box 480
8710,Hoppers Crossing Secondary College,Secondary,Hoppers Crossing,VIC,3029,03 9974 7777,726,Wyndham (C),144.695358,-37.871223,Government,1,2 Fraser Street
8715,Keilor Downs Secondary College,Secondary,Keilor Downs,VIC,3038,03 9365 8000,118,Brimbank (C),144.81158,-37.716234,Government,1,100-110 Odessa Avenue PO Box 245
8716,Kurnai College,Secondary,Morwell,VIC,3840,03 5165 0600,381,Latrobe (C),146.432788,-38.228791,Government,1,Bridle Road P O Box 3411
8718,Kurunjang Secondary College,Secondary,Melton,VIC,3337,03 9743 9211,465,Melton (C),144.5858272,-37.67318002,Government,1,Kurunjang Drive P O Box 598
8720,Lakes Entrance Secondary College,Secondary,Lakes Entrance,VIC,3909,03 5155 2982,211,East Gippsland (S),147.998412,-37.871343,Government,1,1-11 North Street
8722,Elisabeth Murdoch College,Secondary,Langwarrin,VIC,3910,03 9788 2600,217,Frankston (C),145.19018,-38.159291,Government,1,80 Warrandyte Road
8723,Sunbury Downs Secondary College,Secondary,Sunbury,VIC,3429,03 9744 0500,327,Hume (C),144.7046129,-37.58394438,Government,1,148-174 Mitchells Lane P O Box 625
8724,Forest Hill College,Secondary,Burwood East,VIC,3151,03 9814 9444,698,Whitehorse (C),145.163859,-37.847965,Government,1,178-180 Mahoneys Road
8725,Patterson River Secondary College,Secondary,Seaford,VIC,3198,03 8770 6700,217,Frankston (C),145.134825,-38.083284,Government,1,78 - 98 Eel Race Road P O Box 2664
8730,St Helena Secondary College,Secondary,Eltham North,VIC,3095,03 9438 8500,66,Banyule (C),145.1399078,-37.68686717,Government,1,Wallowa Road
8731,Stawell Secondary College,Secondary,Stawell,VIC,3380,03 5358 1700,581,Northern Grampians (S),142.789787,-37.061954,Government,1,79-97 Patrick Street P O Box 202
8734,Rowville Secondary College,Secondary,Rowville,VIC,3178,03 9755 4555,367,Knox (C),145.2370885,-37.92388682,Government,1,17 Paratea Drive P O Box 2123
8736,Wonthaggi Secondary College,Secondary,Wonthaggi,VIC,3995,03 5671 3700,74,Bass Coast (S),145.591814,-38.607571,Government,1,75 Mcbride Avenue P O Box 119
8739,Sandringham College,Secondary,Sandringham,VIC,3191,03 8599 0500,91,Bayside (C),145.0233484,-37.9566838,Government,1,11 Holloway Road
8742,Fitzroy High School,Secondary,Fitzroy North,VIC,3068,03 9488 1900,735,Yarra (C),144.987476,-37.784911,Government,1,Falconer Street
8743,Ashwood High School,Secondary,Ashwood,VIC,3147,03 9807 1333,497,Monash (C),145.1034098,-37.86409815,Government,1,50 Vannam Drive 50 VANNAM DRIVE
8744,Mullauna Secondary College,Secondary,Mitcham,VIC,3132,03 9874 3422,698,Whitehorse (C),145.190313,-37.80685322,Government,1,456 Springfield Road
8745,Leongatha Secondary College,Secondary,Leongatha,VIC,3953,03 5662 4333,617,South Gippsland (S),145.9612411,-38.47868659,Government,1,115 Nerrena Road Private Bag 1
